,Nº do projecto,Nome,Tema,Link,Resolução,Instrumento,Palavras Chave,Género/Categoria,Categorias,Concelho,Distrito/Ilha,Região,Data,Ano,Realizador,Som,Produção,Apoio,Assistência,Pesquisa,Historia (textos que acompanham vídeos),Outras Informações,Contactos,Biografias
v,1,Jorge Cruz,Tão lindo,https://vimeo.com/23630131,640 x 480,"Voz, viola acústica",,Não categorizado,Música narrativa,Lisboa,Lisboa,Estremadura,16 de Janeiro de 2011,2011,Tiago Pereira,Pedro Magalhães,,,,,,,,"Nasci na Praia da Barra, no seio de uma família descendente de padeiros e guardas fiscais. O meu pai era treinador de futebol e a minha mãe cozinheira de chanfanas. Fiz a escola primária num colégio de freiras onde fui introduzido à fé e à religião. Aos fins-de-semana visitava militantes do PRP na prisão de Custóias. Com 10 anos, parti para Angola. Estudei na Escola dos Flamingos Cor-de-Rosa, Lobito, Benguela. Fui aprendiz de pesca em mar-alto sob vigilância de militares cubanos. Iniciei o treino em ginástica desportiva com o campeão mundial russo Lev Smedianov, embora a composição de refrões pop tenha afectado o meu rendimento. De regresso a Portugal, e já depois da morte de José Afonso, vivi na Charneca da Caparica, escrevi letras de hip-hop e formei um duo com o guitarrista Rui Jorge Abreu. Aos 15 anos, voltei à Praia da Barra onde celebrei casamento com uma jovem fotógrafa praticante de body-board. Fui basquetebolista. Li os existencialistas e formei o power-trio Superego que gravou em 1998 o disco  Quem Concebeu o Mundo Não Lia Romances  aclamado pela crítica por ter capa sépia. Ao vivo os Superego abriram para Sérgio Godinho e Jorge Palma e podem ser acusados de ter interrompido músicas para baixar do palco e participar em rixas. Com o segundo disco  A Lenda da Irresponsabilidade do Poeta  (2001) fecharam a sua história inscrita num manifesto cómico-radical que não lhes granjeou amizades. Pelo meio editei 300 exemplares de canções acústicas gravadas em cassete baptizadas de  O Pequeno Aquiles . Licenciei-me em psicologia. Assinei os papéis de divórcio e fui tocar nas ruas de Barcelona e Santiago de Compostela. Estagiei com o músico guineense Oli Silva. Formei uma Fanfarra de música tradicional portuguesa de fusão. Dormi na Lagoa do Fogo e ouvi o  Time Out Of Mind . Fui investigador na Universidade do Porto, àrea de feminismo e psicologia política. Em 2003, gravei o álbum  Sede  que viria a ser editado pela NorteSul. Dediquei-me à escrita de short-stories e romances de amor. Na primavera de 2006, formei 4 bandas e fui para a Sra. da Hora gravar  Poeira  com músicos portuenses do rock, do jazz, do reggae e da música tradicional. Esperei pelo S. João para me despedir do Hospital de Sto. António e mudei-me para Lisboa onde aprendi as profissões de bartender, porteiro e ensaísta. Em 2007, fui apresentado ao Tiago Guillul e ao Samuel Úria, fomos até Sesimbra gravar o primeiro disco do João Coração que acabei por co-produzir, e habituei-me a comer japonês em centros comerciais e a ler passagens da bíblia criteriosamente aconselhadas. O Manuel Fúria aproveitou para me ir oferecendo grades de minis até eu estar convencido a produzir Os Golpes. Gosto adquirido, comecei o ano de 2009 a produzir o João Só e Os (seus) Abandonados. Ainda em 2008, formei em Oeiras a banda de tráde-roque Diabo Na Cruz com o Bernardo Barata (Feromona) e o João Pinheiro (Tv Rural), à qual se juntam B(Fachada) e João Gil (V. Economics). Primeiro álbum para a FlorCaveira é gravado em Maio. Com a Helena Madeira (Dazkarieh e Mú) formo o duo niú-folque Os Vígaros. Chamo-me Jorge Cruz. Outra vez a mudar de casa.A guitarra que Jorge Cruz toca neste vídeo é um instrumento construído pela empresa norte-americana Martin&Co., fundada em 1833. O instrumento foi adquirido numa loja em Lisboa, em 2004, e tem a caixa de ressonância com típica forma dreadnought das guitarras folk."
v,1,Jorge Cruz,Balada da sede,https://vimeo.com/23632349,640 x 480,"Voz, viola acústica",,Não categorizado,Música narrativa,Lisboa,Lisboa,Estremadura,16 de Janeiro de 2011,2011,Tiago Pereira,Pedro Magalhães,,,,,,,,"Nasci na Praia da Barra, no seio de uma família descendente de padeiros e guardas fiscais. O meu pai era treinador de futebol e a minha mãe cozinheira de chanfanas. Fiz a escola primária num colégio de freiras onde fui introduzido à fé e à religião. Aos fins-de-semana visitava militantes do PRP na prisão de Custóias. Com 10 anos, parti para Angola. Estudei na Escola dos Flamingos Cor-de-Rosa, Lobito, Benguela. Fui aprendiz de pesca em mar-alto sob vigilância de militares cubanos. Iniciei o treino em ginástica desportiva com o campeão mundial russo Lev Smedianov, embora a composição de refrões pop tenha afectado o meu rendimento. De regresso a Portugal, e já depois da morte de José Afonso, vivi na Charneca da Caparica, escrevi letras de hip-hop e formei um duo com o guitarrista Rui Jorge Abreu. Aos 15 anos, voltei à Praia da Barra onde celebrei casamento com uma jovem fotógrafa praticante de body-board. Fui basquetebolista. Li os existencialistas e formei o power-trio Superego que gravou em 1998 o disco  Quem Concebeu o Mundo Não Lia Romances  aclamado pela crítica por ter capa sépia. Ao vivo os Superego abriram para Sérgio Godinho e Jorge Palma e podem ser acusados de ter interrompido músicas para baixar do palco e participar em rixas. Com o segundo disco  A Lenda da Irresponsabilidade do Poeta  (2001) fecharam a sua história inscrita num manifesto cómico-radical que não lhes granjeou amizades. Pelo meio editei 300 exemplares de canções acústicas gravadas em cassete baptizadas de  O Pequeno Aquiles . Licenciei-me em psicologia. Assinei os papéis de divórcio e fui tocar nas ruas de Barcelona e Santiago de Compostela. Estagiei com o músico guineense Oli Silva. Formei uma Fanfarra de música tradicional portuguesa de fusão. Dormi na Lagoa do Fogo e ouvi o  Time Out Of Mind . Fui investigador na Universidade do Porto, àrea de feminismo e psicologia política. Em 2003, gravei o álbum  Sede  que viria a ser editado pela NorteSul. Dediquei-me à escrita de short-stories e romances de amor. Na primavera de 2006, formei 4 bandas e fui para a Sra. da Hora gravar  Poeira  com músicos portuenses do rock, do jazz, do reggae e da música tradicional. Esperei pelo S. João para me despedir do Hospital de Sto. António e mudei-me para Lisboa onde aprendi as profissões de bartender, porteiro e ensaísta. Em 2007, fui apresentado ao Tiago Guillul e ao Samuel Úria, fomos até Sesimbra gravar o primeiro disco do João Coração que acabei por co-produzir, e habituei-me a comer japonês em centros comerciais e a ler passagens da bíblia criteriosamente aconselhadas. O Manuel Fúria aproveitou para me ir oferecendo grades de minis até eu estar convencido a produzir Os Golpes. Gosto adquirido, comecei o ano de 2009 a produzir o João Só e Os (seus) Abandonados. Ainda em 2008, formei em Oeiras a banda de tráde-roque Diabo Na Cruz com o Bernardo Barata (Feromona) e o João Pinheiro (Tv Rural), à qual se juntam B(Fachada) e João Gil (V. Economics). Primeiro álbum para a FlorCaveira é gravado em Maio. Com a Helena Madeira (Dazkarieh e Mú) formo o duo niú-folque Os Vígaros. Chamo-me Jorge Cruz. Outra vez a mudar de casa.A guitarra que Jorge Cruz toca neste vídeo é um instrumento construído pela empresa norte-americana Martin&Co., fundada em 1833. O instrumento foi adquirido numa loja em Lisboa, em 2004, e tem a caixa de ressonância com típica forma dreadnought das guitarras folk."
v,1,Jorge Cruz,juízo final (II) / careless whispers,https://vimeo.com/23912552,640 x 480,"Voz, viola acústica",,Não categorizado,Música narrativa,Lisboa,Lisboa,Estremadura,17 de Janeiro de 2011,2011,Tiago Pereira,Pedro Magalhães,,,,,,,,"Nasci na Praia da Barra, no seio de uma família descendente de padeiros e guardas fiscais. O meu pai era treinador de futebol e a minha mãe cozinheira de chanfanas. Fiz a escola primária num colégio de freiras onde fui introduzido à fé e à religião. Aos fins-de-semana visitava militantes do PRP na prisão de Custóias. Com 10 anos, parti para Angola. Estudei na Escola dos Flamingos Cor-de-Rosa, Lobito, Benguela. Fui aprendiz de pesca em mar-alto sob vigilância de militares cubanos. Iniciei o treino em ginástica desportiva com o campeão mundial russo Lev Smedianov, embora a composição de refrões pop tenha afectado o meu rendimento. De regresso a Portugal, e já depois da morte de José Afonso, vivi na Charneca da Caparica, escrevi letras de hip-hop e formei um duo com o guitarrista Rui Jorge Abreu. Aos 15 anos, voltei à Praia da Barra onde celebrei casamento com uma jovem fotógrafa praticante de body-board. Fui basquetebolista. Li os existencialistas e formei o power-trio Superego que gravou em 1998 o disco  Quem Concebeu o Mundo Não Lia Romances  aclamado pela crítica por ter capa sépia. Ao vivo os Superego abriram para Sérgio Godinho e Jorge Palma e podem ser acusados de ter interrompido músicas para baixar do palco e participar em rixas. Com o segundo disco  A Lenda da Irresponsabilidade do Poeta  (2001) fecharam a sua história inscrita num manifesto cómico-radical que não lhes granjeou amizades. Pelo meio editei 300 exemplares de canções acústicas gravadas em cassete baptizadas de  O Pequeno Aquiles . Licenciei-me em psicologia. Assinei os papéis de divórcio e fui tocar nas ruas de Barcelona e Santiago de Compostela. Estagiei com o músico guineense Oli Silva. Formei uma Fanfarra de música tradicional portuguesa de fusão. Dormi na Lagoa do Fogo e ouvi o  Time Out Of Mind . Fui investigador na Universidade do Porto, àrea de feminismo e psicologia política. Em 2003, gravei o álbum  Sede  que viria a ser editado pela NorteSul. Dediquei-me à escrita de short-stories e romances de amor. Na primavera de 2006, formei 4 bandas e fui para a Sra. da Hora gravar  Poeira  com músicos portuenses do rock, do jazz, do reggae e da música tradicional. Esperei pelo S. João para me despedir do Hospital de Sto. António e mudei-me para Lisboa onde aprendi as profissões de bartender, porteiro e ensaísta. Em 2007, fui apresentado ao Tiago Guillul e ao Samuel Úria, fomos até Sesimbra gravar o primeiro disco do João Coração que acabei por co-produzir, e habituei-me a comer japonês em centros comerciais e a ler passagens da bíblia criteriosamente aconselhadas. O Manuel Fúria aproveitou para me ir oferecendo grades de minis até eu estar convencido a produzir Os Golpes. Gosto adquirido, comecei o ano de 2009 a produzir o João Só e Os (seus) Abandonados. Ainda em 2008, formei em Oeiras a banda de tráde-roque Diabo Na Cruz com o Bernardo Barata (Feromona) e o João Pinheiro (Tv Rural), à qual se juntam B(Fachada) e João Gil (V. Economics). Primeiro álbum para a FlorCaveira é gravado em Maio. Com a Helena Madeira (Dazkarieh e Mú) formo o duo niú-folque Os Vígaros. Chamo-me Jorge Cruz. Outra vez a mudar de casa.A guitarra que Jorge Cruz toca neste vídeo é um instrumento construído pela empresa norte-americana Martin&Co., fundada em 1833. O instrumento foi adquirido numa loja em Lisboa, em 2004, e tem a caixa de ressonância com típica forma dreadnought das guitarras folk."
v,1,Jorge Cruz,Nada,https://vimeo.com/23631737,640 x 480,"Voz, viola acústica",,Não categorizado,Música narrativa,Lisboa,Lisboa,Estremadura,16 de Janeiro de 2011,2011,Tiago Pereira,Pedro Magalhães,,,,,,,,"Nasci na Praia da Barra, no seio de uma família descendente de padeiros e guardas fiscais. O meu pai era treinador de futebol e a minha mãe cozinheira de chanfanas. Fiz a escola primária num colégio de freiras onde fui introduzido à fé e à religião. Aos fins-de-semana visitava militantes do PRP na prisão de Custóias. Com 10 anos, parti para Angola. Estudei na Escola dos Flamingos Cor-de-Rosa, Lobito, Benguela. Fui aprendiz de pesca em mar-alto sob vigilância de militares cubanos. Iniciei o treino em ginástica desportiva com o campeão mundial russo Lev Smedianov, embora a composição de refrões pop tenha afectado o meu rendimento. De regresso a Portugal, e já depois da morte de José Afonso, vivi na Charneca da Caparica, escrevi letras de hip-hop e formei um duo com o guitarrista Rui Jorge Abreu. Aos 15 anos, voltei à Praia da Barra onde celebrei casamento com uma jovem fotógrafa praticante de body-board. Fui basquetebolista. Li os existencialistas e formei o power-trio Superego que gravou em 1998 o disco  Quem Concebeu o Mundo Não Lia Romances  aclamado pela crítica por ter capa sépia. Ao vivo os Superego abriram para Sérgio Godinho e Jorge Palma e podem ser acusados de ter interrompido músicas para baixar do palco e participar em rixas. Com o segundo disco  A Lenda da Irresponsabilidade do Poeta  (2001) fecharam a sua história inscrita num manifesto cómico-radical que não lhes granjeou amizades. Pelo meio editei 300 exemplares de canções acústicas gravadas em cassete baptizadas de  O Pequeno Aquiles . Licenciei-me em psicologia. Assinei os papéis de divórcio e fui tocar nas ruas de Barcelona e Santiago de Compostela. Estagiei com o músico guineense Oli Silva. Formei uma Fanfarra de música tradicional portuguesa de fusão. Dormi na Lagoa do Fogo e ouvi o  Time Out Of Mind . Fui investigador na Universidade do Porto, àrea de feminismo e psicologia política. Em 2003, gravei o álbum  Sede  que viria a ser editado pela NorteSul. Dediquei-me à escrita de short-stories e romances de amor. Na primavera de 2006, formei 4 bandas e fui para a Sra. da Hora gravar  Poeira  com músicos portuenses do rock, do jazz, do reggae e da música tradicional. Esperei pelo S. João para me despedir do Hospital de Sto. António e mudei-me para Lisboa onde aprendi as profissões de bartender, porteiro e ensaísta. Em 2007, fui apresentado ao Tiago Guillul e ao Samuel Úria, fomos até Sesimbra gravar o primeiro disco do João Coração que acabei por co-produzir, e habituei-me a comer japonês em centros comerciais e a ler passagens da bíblia criteriosamente aconselhadas. O Manuel Fúria aproveitou para me ir oferecendo grades de minis até eu estar convencido a produzir Os Golpes. Gosto adquirido, comecei o ano de 2009 a produzir o João Só e Os (seus) Abandonados. Ainda em 2008, formei em Oeiras a banda de tráde-roque Diabo Na Cruz com o Bernardo Barata (Feromona) e o João Pinheiro (Tv Rural), à qual se juntam B(Fachada) e João Gil (V. Economics). Primeiro álbum para a FlorCaveira é gravado em Maio. Com a Helena Madeira (Dazkarieh e Mú) formo o duo niú-folque Os Vígaros. Chamo-me Jorge Cruz. Outra vez a mudar de casa.A guitarra que Jorge Cruz toca neste vídeo é um instrumento construído pela empresa norte-americana Martin&Co., fundada em 1833. O instrumento foi adquirido numa loja em Lisboa, em 2004, e tem a caixa de ressonância com típica forma dreadnought das guitarras folk."
v,1,Jorge Cruz interpreta Conversa de Cama,Conversa de Cama (Feromona),https://vimeo.com/23682030,640 x 480,"Voz, viola acústica",,Não categorizado,Música narrativa,Lisboa,Lisboa,Estremadura,16 de Janeiro de 2011,2011,Tiago Pereira,Pedro Magalhães,,,,,,,,"Nasci na Praia da Barra, no seio de uma família descendente de padeiros e guardas fiscais. O meu pai era treinador de futebol e a minha mãe cozinheira de chanfanas. Fiz a escola primária num colégio de freiras onde fui introduzido à fé e à religião. Aos fins-de-semana visitava militantes do PRP na prisão de Custóias. Com 10 anos, parti para Angola. Estudei na Escola dos Flamingos Cor-de-Rosa, Lobito, Benguela. Fui aprendiz de pesca em mar-alto sob vigilância de militares cubanos. Iniciei o treino em ginástica desportiva com o campeão mundial russo Lev Smedianov, embora a composição de refrões pop tenha afectado o meu rendimento. De regresso a Portugal, e já depois da morte de José Afonso, vivi na Charneca da Caparica, escrevi letras de hip-hop e formei um duo com o guitarrista Rui Jorge Abreu. Aos 15 anos, voltei à Praia da Barra onde celebrei casamento com uma jovem fotógrafa praticante de body-board. Fui basquetebolista. Li os existencialistas e formei o power-trio Superego que gravou em 1998 o disco  Quem Concebeu o Mundo Não Lia Romances  aclamado pela crítica por ter capa sépia. Ao vivo os Superego abriram para Sérgio Godinho e Jorge Palma e podem ser acusados de ter interrompido músicas para baixar do palco e participar em rixas. Com o segundo disco  A Lenda da Irresponsabilidade do Poeta  (2001) fecharam a sua história inscrita num manifesto cómico-radical que não lhes granjeou amizades. Pelo meio editei 300 exemplares de canções acústicas gravadas em cassete baptizadas de  O Pequeno Aquiles . Licenciei-me em psicologia. Assinei os papéis de divórcio e fui tocar nas ruas de Barcelona e Santiago de Compostela. Estagiei com o músico guineense Oli Silva. Formei uma Fanfarra de música tradicional portuguesa de fusão. Dormi na Lagoa do Fogo e ouvi o  Time Out Of Mind . Fui investigador na Universidade do Porto, àrea de feminismo e psicologia política. Em 2003, gravei o álbum  Sede  que viria a ser editado pela NorteSul. Dediquei-me à escrita de short-stories e romances de amor. Na primavera de 2006, formei 4 bandas e fui para a Sra. da Hora gravar  Poeira  com músicos portuenses do rock, do jazz, do reggae e da música tradicional. Esperei pelo S. João para me despedir do Hospital de Sto. António e mudei-me para Lisboa onde aprendi as profissões de bartender, porteiro e ensaísta. Em 2007, fui apresentado ao Tiago Guillul e ao Samuel Úria, fomos até Sesimbra gravar o primeiro disco do João Coração que acabei por co-produzir, e habituei-me a comer japonês em centros comerciais e a ler passagens da bíblia criteriosamente aconselhadas. O Manuel Fúria aproveitou para me ir oferecendo grades de minis até eu estar convencido a produzir Os Golpes. Gosto adquirido, comecei o ano de 2009 a produzir o João Só e Os (seus) Abandonados. Ainda em 2008, formei em Oeiras a banda de tráde-roque Diabo Na Cruz com o Bernardo Barata (Feromona) e o João Pinheiro (Tv Rural), à qual se juntam B(Fachada) e João Gil (V. Economics). Primeiro álbum para a FlorCaveira é gravado em Maio. Com a Helena Madeira (Dazkarieh e Mú) formo o duo niú-folque Os Vígaros. Chamo-me Jorge Cruz. Outra vez a mudar de casa.A guitarra que Jorge Cruz toca neste vídeo é um instrumento construído pela empresa norte-americana Martin&Co., fundada em 1833. O instrumento foi adquirido numa loja em Lisboa, em 2004, e tem a caixa de ressonância com típica forma dreadnought das guitarras folk."
v,1,Jorge Cruz,Esta moda vem da Serra,https://vimeo.com/922840580,1920 x 1080,"Voz, viola acústica",,Não categorizado,Música narrativa,Lousã,Coimbra,Beira Litoral,28 de fevereiro de 2024,2024,Tiago Pereira,Tiago Pereira,,,,,,,,"Nasci na Praia da Barra, no seio de uma família descendente de padeiros e guardas fiscais. O meu pai era treinador de futebol e a minha mãe cozinheira de chanfanas. Fiz a escola primária num colégio de freiras onde fui introduzido à fé e à religião. Aos fins-de-semana visitava militantes do PRP na prisão de Custóias. Com 10 anos, parti para Angola. Estudei na Escola dos Flamingos Cor-de-Rosa, Lobito, Benguela. Fui aprendiz de pesca em mar-alto sob vigilância de militares cubanos. Iniciei o treino em ginástica desportiva com o campeão mundial russo Lev Smedianov, embora a composição de refrões pop tenha afectado o meu rendimento. De regresso a Portugal, e já depois da morte de José Afonso, vivi na Charneca da Caparica, escrevi letras de hip-hop e formei um duo com o guitarrista Rui Jorge Abreu. Aos 15 anos, voltei à Praia da Barra onde celebrei casamento com uma jovem fotógrafa praticante de body-board. Fui basquetebolista. Li os existencialistas e formei o power-trio Superego que gravou em 1998 o disco  Quem Concebeu o Mundo Não Lia Romances  aclamado pela crítica por ter capa sépia. Ao vivo os Superego abriram para Sérgio Godinho e Jorge Palma e podem ser acusados de ter interrompido músicas para baixar do palco e participar em rixas. Com o segundo disco  A Lenda da Irresponsabilidade do Poeta  (2001) fecharam a sua história inscrita num manifesto cómico-radical que não lhes granjeou amizades. Pelo meio editei 300 exemplares de canções acústicas gravadas em cassete baptizadas de  O Pequeno Aquiles . Licenciei-me em psicologia. Assinei os papéis de divórcio e fui tocar nas ruas de Barcelona e Santiago de Compostela. Estagiei com o músico guineense Oli Silva. Formei uma Fanfarra de música tradicional portuguesa de fusão. Dormi na Lagoa do Fogo e ouvi o  Time Out Of Mind . Fui investigador na Universidade do Porto, àrea de feminismo e psicologia política. Em 2003, gravei o álbum  Sede  que viria a ser editado pela NorteSul. Dediquei-me à escrita de short-stories e romances de amor. Na primavera de 2006, formei 4 bandas e fui para a Sra. da Hora gravar  Poeira  com músicos portuenses do rock, do jazz, do reggae e da música tradicional. Esperei pelo S. João para me despedir do Hospital de Sto. António e mudei-me para Lisboa onde aprendi as profissões de bartender, porteiro e ensaísta. Em 2007, fui apresentado ao Tiago Guillul e ao Samuel Úria, fomos até Sesimbra gravar o primeiro disco do João Coração que acabei por co-produzir, e habituei-me a comer japonês em centros comerciais e a ler passagens da bíblia criteriosamente aconselhadas. O Manuel Fúria aproveitou para me ir oferecendo grades de minis até eu estar convencido a produzir Os Golpes. Gosto adquirido, comecei o ano de 2009 a produzir o João Só e Os (seus) Abandonados. Ainda em 2008, formei em Oeiras a banda de tráde-roque Diabo Na Cruz com o Bernardo Barata (Feromona) e o João Pinheiro (Tv Rural), à qual se juntam B(Fachada) e João Gil (V. Economics). Primeiro álbum para a FlorCaveira é gravado em Maio. Com a Helena Madeira (Dazkarieh e Mú) formo o duo niú-folque Os Vígaros. Chamo-me Jorge Cruz. Outra vez a mudar de casa.A guitarra que Jorge Cruz toca neste vídeo é um instrumento construído pela empresa norte-americana Martin&Co., fundada em 1833. O instrumento foi adquirido numa loja em Lisboa, em 2004, e tem a caixa de ressonância com típica forma dreadnought das guitarras folk."
v,2,Márcia,37 segundos ao fim do dia,https://vimeo.com/23682876,640 x 480,"Voz, viola acústica","pop, rock, indie, folk",Não categorizado,Música narrativa,Lisboa,Lisboa,Estremadura,16 de Janeiro de 2011,2011,Tiago Pereira,Tiago Pereira,,,,,,,,"MÁRCIA estreia-se com DÁ. Um trabalho de amor, com o rigor das paixões.
O lugar das canções de MÁRCIA é um lugar perigoso e doce. É um local onde se vive sempre à beira de alguma coisa: à beira do sorriso. à beira do choro, à beira do grito, à beira da tristeza, à beira da paz e da guerra. Mas há um ténue fio que une estas canções: uma ternura desesperada, que atravessa todas as emoções, todas as descrições. Os jogos de fumo e espelhos das relações afectivas, a perda, a melancolia, até mesmo a solidão - tudo é salvo e redimido num último momento por uma urgência de ternura que comove mas também incomoda.
Texto de Nuno Miguel Guedes. Nov 2010 (excerto)"
v,2,Márcia,Misturas,https://vimeo.com/23630369,640 x 480,"Voz, viola acústica","pop, rock, indie, folk",Não categorizado,Música narrativa,Lisboa,Lisboa,Estremadura,19 de Janeiro de 2011,2011,Tiago Pereira,Tiago Pereira,,,,,,,,"MÁRCIA estreia-se com DÁ. Um trabalho de amor, com o rigor das paixões.
O lugar das canções de MÁRCIA é um lugar perigoso e doce. É um local onde se vive sempre à beira de alguma coisa: à beira do sorriso. à beira do choro, à beira do grito, à beira da tristeza, à beira da paz e da guerra. Mas há um ténue fio que une estas canções: uma ternura desesperada, que atravessa todas as emoções, todas as descrições. Os jogos de fumo e espelhos das relações afectivas, a perda, a melancolia, até mesmo a solidão - tudo é salvo e redimido num último momento por uma urgência de ternura que comove mas também incomoda.
Texto de Nuno Miguel Guedes. Nov 2010 (excerto)"
v,2,Márcia,A pele que há em mim,https://vimeo.com/23630781,640 x 480,"Voz, viola acústica","pop, rock, indie, folk",Não categorizado,Música narrativa,Lisboa,Lisboa,Estremadura,19 de Janeiro de 2011,2011,Tiago Pereira,Tiago Pereira,,,,,,,,"MÁRCIA estreia-se com DÁ. Um trabalho de amor, com o rigor das paixões.
O lugar das canções de MÁRCIA é um lugar perigoso e doce. É um local onde se vive sempre à beira de alguma coisa: à beira do sorriso. à beira do choro, à beira do grito, à beira da tristeza, à beira da paz e da guerra. Mas há um ténue fio que une estas canções: uma ternura desesperada, que atravessa todas as emoções, todas as descrições. Os jogos de fumo e espelhos das relações afectivas, a perda, a melancolia, até mesmo a solidão - tudo é salvo e redimido num último momento por uma urgência de ternura que comove mas também incomoda.
Texto de Nuno Miguel Guedes. Nov 2010 (excerto)"
v,2,Márcia,Reino costa azul,https://vimeo.com/23631279,640 x 480,"Voz, viola acústica","pop, rock, indie, folk",Não categorizado,Música narrativa,Lisboa,Lisboa,Estremadura,19 de Janeiro de 2011,2011,Tiago Pereira,Tiago Pereira,,,,,,,,"MÁRCIA estreia-se com DÁ. Um trabalho de amor, com o rigor das paixões.
O lugar das canções de MÁRCIA é um lugar perigoso e doce. É um local onde se vive sempre à beira de alguma coisa: à beira do sorriso. à beira do choro, à beira do grito, à beira da tristeza, à beira da paz e da guerra. Mas há um ténue fio que une estas canções: uma ternura desesperada, que atravessa todas as emoções, todas as descrições. Os jogos de fumo e espelhos das relações afectivas, a perda, a melancolia, até mesmo a solidão - tudo é salvo e redimido num último momento por uma urgência de ternura que comove mas também incomoda.
Texto de Nuno Miguel Guedes. Nov 2010 (excerto)"
